lon,lat,period,zone
35.68676455,32.77607755,Early Pliocene,1
35.68449254,32.7749145,Early Pliocene,1
35.68225997,32.77422203,Early Pliocene,1
35.68001007,32.77304345,Early Pliocene,1
35.67770618,32.77192036,Early Pliocene,1
35.67541246,32.77128559,Early Pliocene,1
35.67319409,32.77058292,Early Pliocene,1
35.67154282,32.76930667,Early Pliocene,1
35.66948491,32.76799577,Early Pliocene,1
35.66838631,32.76618419,Early Pliocene,1
35.66837767,32.7637733,Early Pliocene,1
35.66809452,32.76060987,Early Pliocene,1
35.66736975,32.75888384,Early Pliocene,1
35.66661523,32.75670412,Early Pliocene,1
35.66656797,32.75625908,Early Pliocene,1
35.66473412,32.75373525,Early Pliocene,1
35.66290459,32.75121716,Early Pliocene,1
35.66168726,32.7495416,Early Pliocene,1
35.66018782,32.74707079,Early Pliocene,1
35.65957298,32.74531314,Early Pliocene,1
35.65831739,32.74274337,Early Pliocene,1
35.65810947,32.74053542,Early Pliocene,1
35.65745173,32.73926807,Early Pliocene,1
35.65719624,32.73708245,Early Pliocene,1
35.65669898,32.73271382,Early Pliocene,1
35.65645405,32.73053237,Early Pliocene,1
35.65620939,32.72835346,Early Pliocene,1
35.65591623,32.7257421,Early Pliocene,1
35.6555747,32.7227001,Early Pliocene,1
35.65535815,32.72096689,Early Pliocene,1
35.65506474,32.71880413,Early Pliocene,1
35.65479725,32.71663912,Early Pliocene,1
35.65463686,32.71534077,Early Pliocene,1
35.65529918,32.71221305,Early Pliocene,1
35.65612133,32.71038431,Early Pliocene,1
35.65699651,32.70898851,Early Pliocene,1
35.65832071,32.70711139,Early Pliocene,1
35.65945028,32.70479723,Early Pliocene,1
35.6604739,32.70332821,Early Pliocene,1
35.66150588,32.70184705,Early Pliocene,1
35.6632215,32.70118152,Early Pliocene,1
35.66498598,32.70051466,Early Pliocene,1
35.66771993,32.69973072,Early Pliocene,1
35.66935524,32.70088774,Early Pliocene,1
35.67053016,32.70254231,Early Pliocene,1
35.67165497,32.70375957,Early Pliocene,1
35.67356221,32.70626273,Early Pliocene,1
35.67478424,32.70793265,Early Pliocene,1
35.67669721,32.7099971,Early Pliocene,1
35.67687665,32.71088265,Early Pliocene,1
35.67904497,32.71337338,Early Pliocene,1
35.68084017,32.71543515,Early Pliocene,1
35.68288941,32.71700754,Early Pliocene,1
35.68373189,32.71869321,Early Pliocene,1
35.68439548,32.71995965,Early Pliocene,1
35.68514417,32.72301271,Early Pliocene,1
35.68654798,32.72463368,Early Pliocene,1
35.68890813,32.72526115,Early Pliocene,1
35.69097189,32.72643436,Early Pliocene,1
35.69254546,32.72765867,Early Pliocene,1
35.69454551,32.72841835,Early Pliocene,1
35.69608564,32.72921442,Early Pliocene,1
35.696851,32.73140828,Early Pliocene,1
